,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,0,PF,1571077247,75,-9.8,-139.03,79.61,17.47
1,Rikitea,0,PF,1571077248,82,-23.12,-134.97,72.77,9.68
2,Hobart,3,AU,1571077251,81,-42.88,147.33,50.0,9.17
3,Colac,23,AU,1571077252,94,-38.34,143.59,51.01,0.43
4,Merrill,1,US,1571077254,46,42.03,-121.6,55.0,3.36
5,Ushuaia,75,AR,1571077256,61,-54.81,-68.31,48.2,26.4
6,Hithadhoo,100,MV,1571077257,85,-0.6,73.08,79.97,15.24
7,Cape Town,40,ZA,1571077259,72,-33.93,18.42,64.99,13.87
8,Nikolskoye,90,RU,1571077260,81,59.7,30.79,42.8,8.95
9,Pevek,61,RU,1571077262,71,69.7,170.27,32.63,19.22
10,Bluff,0,AU,1571077263,83,-23.58,149.07,66.29,3.65
11,Limin Khersonisou,40,GR,1571077264,88,35.32,25.39,71.01,5.04
12,Yellowknife,75,CA,1571077266,68,62.45,-114.38,30.2,5.82
13,Tigil,90,RU,1571077267,81,57.8,158.67,31.37,12.3
14,Te Anau,58,NZ,1571077269,90,-45.41,167.72,44.15,1.25
15,Kodiak,1,US,1571077270,45,39.95,-94.76,70.0,8.05
16,Konstantinovsk,18,RU,1571077272,62,47.58,41.1,60.89,2.96
17,Puerto Ayora,75,EC,1571077274,50,-0.74,-90.35,78.8,18.34
18,Vaini,40,IN,1571077276,88,15.34,74.49,75.2,4.7
19,Prince Rupert,90,CA,1571077278,70,54.32,-130.32,46.4,10.29
20,Cherskiy,98,RU,1571077279,96,68.75,161.3,23.45,9.12
21,Upernavik,99,GL,1571077280,54,72.79,-56.15,23.63,13.23
22,East London,0,ZA,1571077282,93,-33.02,27.91,64.4,4.7
23,Port Alfred,0,ZA,1571077283,87,-33.59,26.89,64.0,7.0
24,College,1,US,1571077285,79,64.86,-147.8,28.4,5.82
25,Qaanaaq,100,GL,1571077286,68,77.48,-69.36,20.03,20.5
26,Srednekolymsk,100,RU,1571077288,93,67.46,153.71,22.91,20.11
27,Hermanus,50,ZA,1571077289,78,-34.42,19.24,64.99,11.01
28,Punta Arenas,1,CL,1571077290,35,-53.16,-70.91,57.2,21.92
29,Avera,1,US,1571077292,23,33.19,-82.53,82.99,10.29
30,Mar del Plata,0,AR,1571077293,41,-46.43,-67.52,51.71,13.48
31,Albany,20,US,1571077295,43,42.65,-73.75,70.0,9.17
32,Zambezi,81,ZM,1571077296,47,-13.55,23.12,77.63,4.29
33,Port Lincoln,0,AU,1571077298,84,-34.72,135.86,50.09,2.82
34,Jamestown,0,AU,1571077299,91,-33.21,138.6,45.77,4.47
35,Hanmer Springs,100,NZ,1571077300,99,-42.52,172.83,39.47,2.59
36,Bundaberg,90,AU,1571077302,73,-24.87,152.35,71.01,13.87
37,Maningrida,60,AU,1571077272,91,-12.05,134.23,72.05,4.46
38,Koygorodok,92,RU,1571077305,94,60.44,51.01,38.03,5.7
39,Faya,40,SA,1571077306,28,18.39,42.45,69.8,11.41
40,Ak-Dovurak,8,RU,1571077308,57,51.17,90.6,38.03,0.98
41,San Patricio,100,PY,1571077309,90,-26.98,-56.83,74.75,5.68
42,Natal,40,BR,1571077310,58,-5.81,-35.21,86.0,16.11
43,Faanui,21,PF,1571077312,80,-16.48,-151.75,77.09,14.21
44,Leningradskiy,83,RU,1571077313,71,69.38,178.42,30.83,12.49
45,Butaritari,100,KI,1571077223,62,3.07,172.79,84.83,6.9
46,Sao Joao da Barra,0,BR,1571077316,54,-21.64,-41.05,84.2,20.8
47,Yumen,9,CN,1571077318,38,40.29,97.04,40.37,14.99
48,Imuris,7,MX,1571077319,52,30.78,-110.86,81.0,1.99
49,Hilo,90,US,1571077320,88,19.71,-155.08,75.99,3.36
50,San Cristobal,99,HN,1571077322,75,14.68,-86.92,75.11,4.34
51,New Norfolk,24,AU,1571077323,81,-42.78,147.06,50.0,9.17
52,Tautira,20,PF,1571077325,61,-17.73,-149.15,80.6,3.36
53,Ilulissat,75,GL,1571077288,57,69.22,-51.1,21.2,8.05
54,Carnarvon,32,ZA,1571077328,14,-30.97,22.13,68.45,18.51
55,Tabas,0,IR,1571077329,27,33.6,56.92,77.0,6.93
56,Santa Luzia,0,BR,1571077331,25,-19.77,-43.85,89.6,11.41
57,Yanam,30,IN,1571077333,86,16.73,82.22,78.53,4.51
58,Ust-Tsilma,99,RU,1571077233,92,65.44,52.15,35.87,6.11
59,Kuusamo,90,FI,1571077336,98,65.96,29.19,32.0,6.93
60,Rawson,0,AR,1571077338,65,-43.3,-65.11,45.23,12.51
61,Houma,74,CN,1571077340,64,35.63,111.36,45.23,6.89
62,Ovsyanka,79,RU,1571077341,68,53.58,126.91,25.97,3.23
63,Kiruna,0,SE,1571077342,92,67.86,20.23,12.2,2.24
64,Crixas,42,BR,1571077344,21,-14.55,-49.97,98.51,2.06
65,Talaya,100,RU,1571077345,57,55.79,84.89,55.0,8.01
66,Cockburn Town,5,TC,1571077347,76,21.46,-71.14,82.85,11.88
67,Matara,20,BI,1571077348,94,-3.48,29.48,71.6,4.7
68,Buala,96,SB,1571077350,85,-8.15,159.59,77.63,3.27
69,Bredasdorp,41,ZA,1571077351,59,-34.53,20.04,64.99,17.22
70,Saint George,0,GR,1571077352,68,39.45,22.34,66.2,6.93
71,Ribeira Grande,40,PT,1571077354,68,38.52,-28.7,68.0,9.17
72,Tura,100,RU,1571077355,93,64.27,100.22,26.33,3.63
73,Saskylakh,94,RU,1571077356,93,71.97,114.09,22.01,11.51
74,Codrington,40,AU,1571077358,93,-28.95,153.24,62.6,1.12
75,Chuy,100,UY,1571077359,67,-33.69,-53.46,53.69,14.09
76,Khandyga,92,RU,1571077362,96,62.65,135.58,10.85,2.93
77,Belyy Yar,56,RU,1571077363,80,53.6,91.39,40.55,2.23
78,Kavaratti,4,IN,1571077239,69,10.57,72.64,83.75,1.67
79,Waingapu,39,ID,1571077366,78,-9.65,120.26,79.07,9.26
80,Bandarbeyla,0,SO,1571077367,76,9.49,50.81,81.59,13.83
81,Georgetown,20,GY,1571077369,70,6.8,-58.16,91.4,11.41
82,Lorengau,100,PG,1571077370,69,-2.02,147.27,83.57,4.96
83,Airai,7,TL,1571077235,28,-8.93,125.41,61.43,4.41
84,Kununurra,72,AU,1571077373,73,-15.77,128.74,75.2,3.36
85,Thessalon,40,CA,1571077375,71,46.26,-83.55,51.8,5.82
86,Sechura,30,PE,1571077376,90,-5.56,-80.82,60.89,15.97
87,Severo-Kurilsk,97,RU,1571077377,89,50.68,156.12,34.79,9.87
88,Praia,0,BR,1571077379,27,-20.25,-43.81,89.6,8.05
89,Bethel,1,US,1571077380,79,60.79,-161.76,26.6,5.82
90,Kloulklubed,90,PW,1571077382,94,7.04,134.26,75.2,7.58
91,Singaraja,99,ID,1571077383,70,-8.11,115.08,80.33,8.08
92,Vestmannaeyjar,75,IS,1571077385,87,63.44,-20.27,48.2,39.15
93,Egvekinot,100,RU,1571077387,97,66.32,-179.17,25.61,4.58
94,Esperance,40,AU,1571077388,100,-33.86,121.89,46.4,4.7
95,Bulgan,0,MN,1571077389,39,48.81,103.53,30.11,3.05
96,Koroni,40,GR,1571077391,78,36.8,21.96,73.0,2.07
97,Starogard Gdanski,76,PL,1571077392,81,53.96,18.53,61.0,8.05
98,Nouakchott,100,MR,1571077393,78,18.08,-15.98,82.4,12.75
99,Sao Joaquim,100,BR,1571077395,99,-28.29,-49.93,77.0,7.0
100,Santa Marta,90,CO,1571077396,74,11.24,-74.21,86.0,4.7
101,Muli,100,CN,1571077397,91,28.08,109.56,56.93,10.2
102,Ajaccio,0,FR,1571077399,64,41.93,8.74,71.6,5.82
103,Souillac,89,FR,1571077400,93,45.6,-0.6,59.0,9.17
104,Hofn,90,IS,1571077401,93,64.25,-15.21,46.4,16.11
105,Koslan,97,RU,1571077403,95,63.46,48.9,34.97,5.11
106,Razdolnoye,0,RU,1571077404,34,43.7,44.53,58.91,5.71
107,Sakaiminato,75,JP,1571077406,72,35.55,133.23,64.4,20.8
108,Otane,100,NZ,1571077407,90,-39.89,176.62,48.99,11.01
109,Sao Filipe,11,CV,1571077392,79,14.9,-24.5,78.53,19.98
110,Cambrils,20,ES,1571077411,100,41.07,1.07,71.01,3.36
111,Arraial do Cabo,0,BR,1571077412,58,-22.97,-42.02,87.8,17.22
112,Namatanai,100,PG,1571077414,79,-3.66,152.44,80.87,5.91
113,Dingle,98,PH,1571077415,92,11.0,122.67,74.03,7.71
114,Yermakovskoye,62,RU,1571077416,67,53.28,92.4,39.11,6.03
115,Diffa,0,NE,1571077418,19,13.32,12.61,95.63,13.03
116,Namibe,99,AO,1571077419,85,-15.19,12.15,70.43,7.62
117,Acajutla,20,SV,1571077420,58,13.59,-89.83,84.2,3.36
118,Havre-Saint-Pierre,90,CA,1571077422,87,50.23,-63.6,50.0,10.29
119,Moses Lake,1,US,1571077423,50,47.13,-119.28,55.0,2.0
120,Jizan,20,SA,1571077424,66,16.89,42.56,89.6,3.36
121,Constitucion,90,MX,1571077426,49,23.99,-104.67,75.0,4.7
122,Mataura,91,NZ,1571077427,93,-46.19,168.86,48.99,1.01
123,Khatanga,97,RU,1571077428,96,71.98,102.47,28.31,10.36
124,Eston,75,CA,1571077430,60,51.15,-108.75,42.01,17.22
125,Buraydah,40,SA,1571077432,27,26.33,43.97,89.6,9.17
126,Ayagoz,59,KZ,1571077433,40,47.96,80.43,54.77,11.57
127,Port Elizabeth,1,US,1571077267,37,39.31,-74.98,75.0,10.29
128,Kaitangata,70,NZ,1571077437,83,-46.28,169.85,50.0,11.01
129,Thompson,90,CA,1571077439,93,55.74,-97.86,35.6,6.93
130,Tasiilaq,75,GL,1571077440,64,65.61,-37.64,35.6,17.22
131,Preobrazheniye,0,RU,1571077441,64,42.9,133.91,29.75,5.96
132,Canutama,73,BR,1571077443,53,-6.53,-64.38,89.87,3.23
133,Camacha,40,PT,1571077444,68,33.08,-16.33,71.6,10.29
134,Urucara,39,BR,1571077446,35,-2.54,-57.76,96.71,2.74
135,Bayir,0,TR,1571077447,88,37.27,28.22,68.0,3.36
136,Avarua,75,CK,1571077448,88,-21.21,-159.78,71.6,6.93
137,Hervey Bay,90,AU,1571077450,73,-25.3,152.85,71.01,13.87
138,Barrow,90,AR,1571077451,48,-38.31,-60.23,52.79,14.29
139,Lagoa,20,PT,1571077453,72,37.14,-8.45,66.2,10.29
140,Patea,100,NZ,1571077454,84,-39.76,174.48,53.01,3.0
141,Chokurdakh,100,RU,1571077456,95,70.62,147.9,20.21,9.68
142,Kapaa,1,US,1571077458,69,22.08,-159.32,80.6,16.11
143,Provideniya,100,RU,1571077459,93,64.42,-173.23,31.19,6.83
144,Muncar,100,ID,1571077461,82,-8.43,114.34,77.45,7.36
145,Sabha,59,LY,1571077462,30,27.03,14.43,81.23,9.78
146,Geraldton,75,CA,1571077362,80,49.72,-86.95,39.2,8.05
147,Sol-Iletsk,31,RU,1571077465,80,51.16,55.0,47.75,6.61
148,Portland,40,US,1571077466,72,43.66,-70.25,64.99,10.29
149,Creel,100,MX,1571077467,76,27.75,-107.63,61.79,5.33
150,Dawlatabad,0,AF,1571077469,39,36.41,64.91,51.35,4.2
151,Alice Springs,61,AU,1571077470,18,-23.7,133.88,73.4,5.82
152,Busselton,0,AU,1571077471,62,-33.64,115.35,41.0,9.99
153,Purpe,100,RU,1571077472,95,64.48,76.69,41.0,8.01
154,Cidreira,100,BR,1571077474,81,-30.17,-50.22,61.79,22.53
155,Dunedin,100,NZ,1571077475,90,-45.87,170.5,51.01,25.99
156,Port Hedland,0,AU,1571077477,83,-20.31,118.58,69.8,8.05
157,Mustvee,99,EE,1571077479,93,58.85,26.93,46.4,13.87
158,Hasaki,75,JP,1571077480,93,35.73,140.83,63.0,8.05
159,Ahipara,100,NZ,1571077481,100,-35.17,173.16,59.0,5.51
160,Shingu,52,JP,1571077483,80,33.72,135.99,68.99,7.64
161,Torbay,90,CA,1571077484,87,47.66,-52.73,46.0,11.41
162,Pacific Grove,40,US,1571077477,67,36.62,-121.92,66.0,6.93
163,Russell,1,US,1571077379,36,38.9,-98.86,75.99,19.46
164,Xiuyan,0,CN,1571077488,47,40.29,123.27,30.11,6.05
165,Ponta do Sol,0,BR,1571077490,30,-20.63,-46.0,87.71,4.99
166,Bani,100,YE,1571077491,68,16.02,42.93,86.81,4.41
167,Taoudenni,0,ML,1571077492,18,22.68,-3.98,97.79,10.51
168,Manavalakurichi,75,IN,1571077494,88,8.13,77.3,80.6,3.36
169,Yulara,46,AU,1571077495,14,-25.24,130.99,77.0,8.05
170,Vila Velha,20,BR,1571077370,62,-3.71,-38.6,84.2,16.11
171,Kemise,68,ET,1571077498,48,10.72,39.87,67.01,5.41
172,Saint-Philippe,90,CA,1571077282,58,45.36,-73.48,61.0,10.29
173,Nantucket,90,US,1571077501,88,41.28,-70.1,63.0,4.7
174,Sao Felix do Xingu,43,BR,1571077504,33,-6.64,-51.99,96.35,5.38
175,Bilibino,92,RU,1571077505,97,68.06,166.44,15.17,1.61
176,Svetlogorsk,43,RU,1571077506,81,53.14,59.15,41.63,10.54
177,Kahului,20,US,1571077508,65,20.89,-156.47,82.4,18.34
178,Acapulco,20,MX,1571077509,70,16.86,-99.88,87.8,5.82
179,Bang Saphan,100,TH,1571077511,77,11.21,99.51,80.69,5.62
180,Kidal,0,ML,1571077512,15,18.44,1.41,95.27,9.99
181,Faro,20,PT,1571077514,72,37.02,-7.94,66.2,10.29
182,Lubango,96,AO,1571077515,79,-14.92,13.49,64.31,6.54
183,Ushtobe,100,KZ,1571077516,36,45.25,77.98,57.83,8.24
184,Long Xuyen,20,VN,1571077518,100,10.39,105.43,78.8,2.24
185,Sur,3,OM,1571077471,62,22.57,59.53,78.17,0.62
186,Saldanha,32,PT,1571077522,66,41.42,-6.55,50.45,11.16
187,Iqaluit,20,CA,1571077330,68,63.75,-68.52,30.2,1.25
188,Pakokku,68,MM,1571077525,89,21.33,95.09,76.01,11.24
189,Longyearbyen,40,NO,1571077249,79,78.22,15.63,19.4,3.36
190,Mount Isa,0,AU,1571077528,42,-20.73,139.49,68.0,11.14
191,Samarai,20,PG,1571077234,89,-10.62,150.67,72.23,5.32
192,Ostrovnoy,88,RU,1571077530,78,68.05,39.51,32.81,5.4
193,Esna,20,RO,1571077532,59,45.2,27.57,62.6,5.82
194,Huilong,100,CN,1571077533,93,31.15,106.5,59.45,6.55
195,Vila Franca do Campo,20,PT,1571077480,56,37.72,-25.43,71.01,12.75
196,San Rafael,100,AR,1571077536,91,-34.61,-68.33,37.49,7.28
197,Isangel,16,VU,1571077538,78,-19.55,169.27,70.25,10.26
198,Hit,33,IQ,1571077539,8,33.64,42.83,79.79,8.8
199,Ossora,43,RU,1571077541,66,59.24,163.07,34.61,15.04
200,Ca Mau,96,VN,1571077542,95,9.18,105.15,75.65,4.58
201,Avondale,90,CA,1571077544,87,47.42,-53.19,46.0,11.41
202,Dhangadhi,0,NP,1571077545,69,28.7,80.57,71.33,3.94
203,Wajima,81,JP,1571077546,80,37.4,136.9,60.35,22.39
204,Salalah,40,OM,1571077548,74,17.01,54.1,82.4,4.7
205,Saku,96,JP,1571077549,93,36.21,138.45,61.0,3.0
206,Ancud,0,CL,1571077551,25,-41.87,-73.83,64.4,13.87
207,Salvador,40,BR,1571077552,69,-12.98,-38.48,82.4,16.11
208,Fort Madison,1,US,1571077553,50,40.63,-91.32,61.0,5.82
209,Damoh,10,IN,1571077555,60,23.84,79.44,72.95,3.76
210,Castro,0,CL,1571077557,25,-42.48,-73.76,64.4,13.87
211,Lazaro Cardenas,90,MX,1571077558,83,28.39,-105.62,72.0,8.62
212,Ayni,51,TJ,1571077559,73,39.39,68.54,38.39,5.27
213,Fortuna,1,US,1571077561,62,40.6,-124.16,57.99,3.36
214,Pochutla,40,MX,1571077562,55,15.74,-96.47,91.4,9.17
215,Praya,40,ID,1571077563,88,-8.71,116.27,77.0,4.36
216,Laguna,90,BZ,1571077269,100,16.17,-88.94,77.0,3.28
217,Bambous Virieux,20,MU,1571077566,83,-20.34,57.76,73.0,3.36
218,Kavieng,97,PG,1571077307,73,-2.57,150.8,82.67,7.95
219,Jacareacanga,75,BR,1571077569,78,-6.22,-57.76,82.4,1.12
220,Zaragoza,75,SV,1571077570,78,13.59,-89.29,84.2,11.41
221,Gimbi,1,ET,1571077572,74,8.81,37.79,49.37,8.23
222,Palu,37,ID,1571077573,97,-0.9,119.87,66.65,2.09
223,Hosangadi,31,IN,1571077574,94,13.7,74.96,75.11,3.02
224,Siavonga,0,ZW,1571077576,44,-16.54,28.71,83.75,2.74
225,Valparaiso,1,US,1571077577,46,41.47,-87.06,54.0,5.82
226,Narsaq,5,GL,1571077209,38,60.91,-46.05,39.2,2.24
227,Whitehorse,75,CA,1571077579,63,60.72,-135.06,28.0,3.36
228,Chernyshevskiy,30,RU,1571077581,93,63.01,112.47,21.29,4.48
229,Tuktoyaktuk,75,CA,1571077583,85,69.44,-133.03,23.0,12.75
230,Yerbogachen,100,RU,1571077584,93,61.28,108.01,32.27,6.88
231,Yeniseysk,100,RU,1571077411,89,58.45,92.17,42.89,5.39
232,Mayumba,100,GA,1571077587,86,-3.44,10.65,76.55,13.22
233,Dogondoutchi,0,NE,1571077588,22,13.64,4.03,96.17,6.35
234,Chunoyar,100,RU,1571077589,85,57.45,97.32,37.67,4.46
235,Bambanglipuro,99,ID,1571077250,89,-7.95,110.28,73.31,2.44
236,Myre,68,SE,1571077592,100,62.25,17.37,41.0,2.24
237,Paragominas,73,BR,1571077594,40,-3.0,-47.35,92.93,6.56
238,Cadillac,90,US,1571077595,75,44.25,-85.4,48.2,14.99
239,Dvinskoy,100,RU,1571077597,92,62.16,45.12,38.57,8.91
240,Aksarka,100,RU,1571077598,96,66.56,67.8,38.57,11.89
241,Lubao,97,CD,1571077600,92,-5.39,25.75,72.59,2.15
242,Clyde River,75,CA,1571077601,69,70.47,-68.59,35.6,14.99
243,Tiksi,97,RU,1571077457,89,71.64,128.87,15.71,4.32
244,Mount Gambier,90,AU,1571077504,93,-37.83,140.78,48.2,5.82
245,Harper,75,US,1571077605,57,30.3,-99.24,82.4,6.93
246,Tuatapere,59,NZ,1571077607,93,-46.13,167.69,48.99,1.01
247,Alofi,75,NU,1571077608,88,-19.06,-169.92,73.4,4.7
248,Yurino,94,RU,1571077609,88,56.29,46.29,44.33,7.03
249,Tiznit,36,MA,1571077611,70,29.7,-9.73,64.13,6.75
250,Bonfim,14,GY,1571077612,41,3.36,-59.84,93.65,7.01
251,Ilhabela,4,BR,1571077613,90,-23.78,-45.36,74.39,15.39
252,Nome,90,US,1571077263,83,30.04,-94.42,87.01,4.7
253,Caravelas,58,BR,1571077617,55,-17.73,-39.27,81.77,13.37
254,Synya,100,RU,1571077618,97,65.37,58.04,36.59,2.53
255,Pisco,42,PE,1571077620,30,-13.71,-76.2,71.6,9.17
256,Kieta,89,PG,1571077349,79,-6.22,155.63,78.89,6.0
257,Emerald,0,AU,1571077622,82,-23.53,148.16,68.0,4.7
258,Cap Malheureux,20,MU,1571077623,83,-19.98,57.61,73.0,3.36
259,Sept-Iles,40,CA,1571077625,71,50.2,-66.38,53.6,8.05
260,Awbari,49,LY,1571077626,32,26.59,12.77,78.35,8.61
261,Saint Peter,1,US,1571077629,52,44.32,-93.96,50.0,10.29
262,Corowa,0,AU,1571077630,100,-36.0,146.39,55.0,6.65
263,Kipini,75,KE,1571077631,88,-2.53,40.53,78.8,11.39
